year,course,number,mark_type,mean,sd,max,p99,p90,p75,p50,p25
2020,French Extension,133.0,scaled,39.6,6.1,50.0,49.1,46.7,44.3,41.1,34.7
2020,German Beginners,89.0,hsc,39.5,6.7,50.0,50.0,47.5,45.5,40.0,33.5
2020,German Beginners,89.0,scaled,27.0,10.8,50.0,50.0,42.5,36.0,26.3,17.1
2020,German Continuers,212.0,hsc,40.8,5.3,49.0,48.5,47.0,44.5,41.5,38.5
2020,German Continuers,212.0,scaled,34.4,9.0,50.0,48.8,44.4,40.1,35.9,31.0
2020,German Extension,55.0,hsc,44.0,3.5,49.0,49.0,48.0,47.0,45.0,42.0
2020,German Extension,55.0,scaled,40.0,4.5,50.0,50.0,45.7,43.5,40.6,37.3
2020,Hindi Continuers,12.0,hsc,41.2,4.6,46.5,,,,,
2020,Hindi Continuers,12.0,scaled,31.0,9.4,47.1,,,,,
2020,Indonesian Beginners,44.0,hsc,40.3,5.3,48.5,48.5,46.0,45.0,41.0,36.5
2020,Indonesian Beginners,44.0,scaled,23.3,9.5,44.3,44.3,34.5,31.7,22.9,15.6
2020,Indonesian Continuers,78.0,hsc,40.9,5.3,49.0,49.0,47.5,45.0,41.5,37.5
2020,Indonesian Continuers,78.0,scaled,29.6,10.2,50.0,50.0,44.0,36.0,29.9,22.1
2020,Indonesian Extension,16.0,hsc,41.1,4.3,48.0,,,,,
2020,Indonesian Extension,16.0,scaled,36.1,8.1,50.0,,,,,
2020,Italian Beginners,306.0,hsc,38.3,6.8,50.0,49.0,46.5,43.5,39.0,34.5
2020,Italian Beginners,306.0,scaled,26.2,11.3,50.0,47.2,41.5,34.9,26.1,17.8
2020,Italian Continuers,210.0,hsc,40.4,5.8,49.0,48.5,46.5,45.0,41.0,37.0
2020,Italian Continuers,210.0,scaled,31.7,10.1,50.0,48.7,44.2,40.2,32.1,24.4
2020,Italian Extension,42.0,hsc,43.6,4.5,49.0,49.0,48.0,47.0,45.0,43.0
2020,Italian Extension,42.0,scaled,38.3,6.7,50.0,50.0,46.3,43.3,38.9,36.0
2020,Japanese Beginners,635.0,hsc,36.1,8.2,49.5,48.5,46.0,42.5,36.5,31.0
2020,Japanese Beginners,635.0,scaled,23.8,11.4,48.5,45.5,39.2,33.3,23.8,14.8
2020,Japanese Continuers,671.0,hsc,40.2,6.3,50.0,49.5,48.0,45.0,41.0,36.0
2020,Japanese Continuers,671.0,scaled,30.6,10.1,50.0,48.2,43.9,38.3,31.1,23.4
2020,Japanese Extension,163.0,hsc,42.1,5.3,49.0,49.0,48.0,46.0,44.0,38.0
2020,Japanese Extension,163.0,scaled,37.7,6.2,50.0,49.5,45.8,42.8,37.6,33.2
2020,Japanese & Literature,11.0,hsc,40.4,4.7,46.5,,,,,
2020,Japanese & Literature,11.0,scaled,28.5,11.3,47.4,,,,,
2020,Japanese in Context,30.0,hsc,41.7,3.6,49.0,,,,,
2020,Japanese in Context,30.0,scaled,30.2,7.7,48.1,,,,,
2020,Khmer Continuers,21.0,hsc,42.7,2.9,47.5,,,,,
2020,Khmer Continuers,21.0,scaled,17.6,9.7,38.5,,,,,
2020,Korean Beginners,127.0,hsc,40.0,5.3,49.0,48.5,46.5,44.0,40.5,37.0
2020,Korean Beginners,127.0,scaled,25.2,11.3,50.0,48.0,40.5,33.5,25.2,16.7
2020,Korean Continuers,16.0,hsc,44.8,2.6,48.0,,,,,
2020,Korean Continuers,16.0,scaled,32.8,9.0,47.2,,,,,
2020,Korean & Literature,43.0,hsc,42.9,3.6,48.5,48.5,47.5,46.0,43.0,41.0
2020,Korean & Literature,43.0,scaled,25.0,10.5,47.6,47.6,40.0,33.8,23.6,17.9
2020,Korean in Context,39.0,hsc,45.7,2.5,49.5,,,,,
2020,Korean in Context,39.0,scaled,26.6,9.6,48.7,,,,,
2020,Latin Continuers,142.0,hsc,43.9,3.7,48.5,48.5,47.5,46.5,44.5,42.5
2020,Latin Continuers,142.0,scaled,41.1,7.1,50.0,50.0,48.4,45.9,42.9,38.1
2020,Latin Extension,104.0,hsc,47.0,2.6,50.0,50.0,49.0,49.0,48.0,46.0
2020,Latin Extension,104.0,scaled,42.1,6.3,50.0,50.0,48.5,46.2,43.9,39.2
2020,Macedonian Continuers,21.0,hsc,39.8,5.0,48.5,,,,,
2020,Macedonian Continuers,21.0,scaled,25.2,8.9,45.5,,,,,
2020,Modern Greek Beginners,70.0,hsc,42.8,5.0,50.0,50.0,48.0,46.5,43.5,41.0
2020,Modern Greek Beginners,70.0,scaled,28.2,11.5,50.0,50.0,42.6,37.7,28.7,21.0
2020,Modern Greek Continuers,72.0,hsc,43.2,4.2,49.5,49.5,48.0,46.5,43.5,40.5
2020,Modern Greek Continuers,72.0,scaled,27.5,10.2,48.5,48.5,39.7,35.4,27.3,18.8
2020,Modern Greek Extension,25.0,hsc,43.0,5.1,49.0,,,,,
2020,Modern Greek Extension,25.0,scaled,32.7,8.4,47.5,,,,,
2020,Modern Hebrew Continuers,31.0,hsc,45.9,2.8,49.0,,,,,
2020,Modern Hebrew Continuers,31.0,scaled,35.6,7.6,50.0,,,,,
2020,Persian Continuers,21.0,hsc,44.3,3.8,49.0,,,,,
2020,Persian Continuers,21.0,scaled,20.4,12.5,45.7,,,,,
2020,Polish Continuers,16.0,hsc,45.9,2.9,49.5,,,,,
2020,Polish Continuers,16.0,scaled,32.2,9.1,50.0,,,,,
2020,Portuguese Continuers,29.0,hsc,42.6,3.2,48.5,,,,,
2020,Portuguese Continuers,29.0,scaled,25.0,8.2,45.6,,,,,
2020,Punjabi Continuers,15.0,hsc,41.8,3.6,47.0,,,,,
2020,Punjabi Continuers,15.0,scaled,27.0,9.5,45.8,,,,,
2020,Russian Continuers,20.0,hsc,45.0,2.8,48.5,,,,,
2020,Russian Continuers,20.0,scaled,26.1,8.8,42.6,,,,,
2020,Serbian Continuers,30.0,hsc,43.4,3.2,49.0,,,,,
2020,Serbian Continuers,30.0,scaled,21.8,9.0,42.8,,,,,
2020,Spanish Beginners,328.0,hsc,37.5,6.6,49.5,49.0,45.5,42.5,38.5,33.0
2020,Spanish Beginners,328.0,scaled,24.3,11.4,50.0,47.9,40.5,32.9,23.7,15.3
2020,Spanish Continuers,164.0,hsc,39.1,4.6,49.5,47.5,44.5,42.5,40.0,35.5
2020,Spanish Continuers,164.0,scaled,26.2,10.0,49.6,45.7,38.5,33.2,27.1,19.4
2020,Spanish Extension,53.0,hsc,41.3,6.9,49.0,49.0,46.0,45.0,43.0,40.0
2020,Spanish Extension,53.0,scaled,31.0,7.8,48.6,48.6,38.9,36.0,31.6,27.3
2020,Turkish Continuers,26.0,hsc,42.1,3.0,48.5,,,,,
2020,Turkish Continuers,26.0,scaled,23.0,8.7,45.6,,,,,
2020,Vietnamese Continuers,190.0,hsc,40.6,3.7,47.5,47.0,45.0,43.0,41.0,38.5
2020,Vietnamese Continuers,190.0,scaled,19.7,11.0,46.4,45.5,36.3,26.9,18.4,10.9
2020,Automotive Exam,237.0,hsc,33.7,6.0,47.5,46.5,41.0,37.5,34.0,30.5
2020,Automotive Exam,237.0,scaled,13.9,9.2,36.6,35.8,28.7,19.9,11.8,6.7
2020,Business Services Exam,1155.0,hsc,36.1,6.2,49.0,46.5,43.5,40.5,36.5,33.0
2020,Business Services Exam,1155.0,scaled,18.5,10.5,44.1,41.3,33.9,26.1,16.9,10.3
2020,Construction Exam,1741.0,hsc,37.9,5.1,48.5,46.5,43.5,41.5,38.5,35.0
2020,Construction Exam,1741.0,scaled,15.7,9.7,39.5,37.4,29.2,22.8,14.7,7.5
2020,Electrotechnology Exam,223.0,hsc,36.0,4.3,46.5,45.5,41.5,39.0,36.0,33.0
2020,Electrotechnology Exam,223.0,scaled,18.1,8.4,38.2,37.0,30.1,24.3,17.5,11.1
2020,Entertainment Industry Exam,713.0,hsc,39.3,4.7,48.0,47.5,45.5,42.5,39.5,36.0
