year,course,number,median_hsc,median_band,pct_b6,pct_b5,pct_b4,pct_b3,pct_b2
2020,Business Services Exam,1155.0,73.0,4,4.0,26.0,32.0,25.0,10.0
2020,Construction Exam,1741.0,77.0,4,5.0,37.0,36.0,15.0,6.0
2020,Electrotechnology Exam,223.0,72.0,4,3.0,16.0,40.0,37.0,4.0
2020,Entertainment Industry Exam,713.0,79.0,4,13.0,36.0,36.0,12.0,3.0
2020,Financial Services Exam,80.0,74.0,4,4.0,25.0,39.0,31.0,1.0
2020,Hospitality Exam,4337.0,74.0,4,4.0,27.0,37.0,26.0,6.0
2020,Human Services Exam,705.0,69.0,3,1.0,12.0,33.0,45.0,8.0
2020,Information & Digital Technology Exam,466.0,76.0,4,4.0,26.0,50.0,16.0,3.0
2020,Metal & Engineering Exam,255.0,67.0,3,1.0,12.0,29.0,32.0,21.0
2020,Primary Industries Exam,520.0,74.0,4,3.0,19.0,50.0,24.0,4.0
2020,Retail Services Exam,825.0,71.0,4,,8.0,44.0,31.0,15.0
2020,"Tourism, Travel & Events Exam",161.0,74.0,4,2.0,17.0,57.0,23.0,1.0
2021,Aboriginal Studies,704.0,69.0,3,12.0,17.0,20.0,27.0,16.0
2021,Agriculture,1496.0,72.0,4,11.0,24.0,21.0,24.0,15.0
2021,Ancient History,6375.0,74.0,4,10.0,25.0,28.0,17.0,13.0
2021,Biology,18708.0,74.0,4,7.0,24.0,35.0,25.0,7.0
2021,Business Studies,17662.0,75.0,4,9.0,27.0,30.0,21.0,9.0
2021,Chemistry,9884.0,76.0,4,11.0,29.0,26.0,22.0,9.0
2021,Community & Family Studies,8913.0,75.0,4,6.0,27.0,40.0,21.0,6.0
2021,Dance,905.0,81.0,5,13.0,42.0,30.0,13.0,1.0
2021,Design & Technology,3429.0,81.0,5,17.0,38.0,28.0,14.0,2.0
2021,Drama,3938.0,78.0,4,18.0,27.0,37.0,16.0,1.0
2021,Earth & Environmental Science,2328.0,74.0,4,5.0,23.0,34.0,24.0,11.0
2021,Economics,5043.0,80.0,5,15.0,35.0,27.0,17.0,5.0
2021,Engineering Studies,2400.0,75.0,4,11.0,25.0,35.0,21.0,6.0
2021,English Studies Exam,1357.0,58.0,2,,1.0,7.0,36.0,40.0
2021,English Standard,31341.0,71.0,4,1.0,16.0,41.0,33.0,8.0
2021,English Advanced,24409.0,83.0,5,16.0,52.0,25.0,5.0,1.0
2021,English EAL/D,1879.0,72.0,4,2.0,21.0,35.0,28.0,11.0
2021,English Extension 1,3415.0,44.0,E3,,,41.0,53.0,6.0
2021,English Extension 2,1308.0,41.0,E3,,,25.0,59.0,15.0
2021,Food Technology,3623.0,75.0,4,11.0,26.0,26.0,24.0,10.0
2021,Geography,4438.0,78.0,4,9.0,35.0,30.0,18.0,6.0
2021,Industrial Technology,5667.0,70.0,4,7.0,18.0,28.0,27.0,16.0
2021,Information Processes & Technology,1897.0,72.0,4,8.0,24.0,25.0,23.0,14.0
2021,Investigating Science,2852.0,77.0,4,8.0,32.0,34.0,18.0,5.0
2021,Legal Studies,10693.0,77.0,4,15.0,28.0,27.0,17.0,10.0
2021,Mathematics Standard 1 Exam,1461.0,70.0,4,4.0,15.0,32.0,32.0,13.0
2021,Mathematics Standard 2,30035.0,70.0,4,6.0,19.0,27.0,27.0,15.0
